Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category
1297.463113,43.91075947,Son,Self-Employed,625608.1989,37958.21464,Yearly,-1432284.242,Married,Non Medical,18.4811548,9.987422464,Ahmednagar,Maharashtra,422605,ULIP,Retail Agency,,3/18/2019 0:00,-,-,Inforce,-,Misappropriating Funds
953.0419932,61.4020291,Spouse,Retired,-13458.3426,181377.6004,Yearly,-1168698.915,Married,Non Medical,14.53850467,10.00818738,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1038.0940469634902,28.93541064747576,Father,Agriculturist,475000,5000,Yearly,240000,Single,Non Medical,15.41394512249386,9.53078226196865,SONBHADRA,Uttar Pradesh,231212,Traditional,Retail Agency,,1/13/2022 0:00,-,-,Lapse, ,Claims Fraud
1087.4535186179176,42.9305561218034,Father,Profession,1156580.779,116040.8846,Yearly,2840799.049,Married,Non Medical,12.77602990517508,9.850859963623524,PARGANAS  NORTH,West Bengal,743165,ULIP,Retail Agency,,9/26/2022 0:00,-,-,Cancellation,Other Reason,Misselling 
1298.092593,45.1630868,Wife,Agriculturist,358197.8759,45647.72644,Quarterly,110968.0601,Married,Medical,14.84032838,9.991621033,RAMPUR,Uttar Pradesh,244921,Traditional,Retail Agency,,10/11/2022 0:00,-,-,Cancellation,Other Reason,Impersonation
1201.241302189042,60.0,Son,Service,2170671,8121,Yearly,3349125,Single,Non Medical,32.0,9.0,BHOPAL,-,692404,ULIP,Retail Agency,1.0598810179499176,01/31/2021 0:00,-,-,Matured,Reinstated,No Fraud
1221.6402113419426,12.908825071095228,Spouse,Business," 3,300,000 "," 306,750 ",Yearly," 3,000,000 ",Married,Non Medical,35.85303639278081,9.954837215737866,KARUR,Tamil Nadu,639002,Traditional,Bancassurance,1.0202320466982635,08-05-2023,-,-,Inforce,-,Document Tampering
1169.0,37.0,Wife,Business,840000,104500,Yearly,480000,Married,Non Medical,15.0,10.0,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
1181.25921697425,37.22333397545163,Wife,Business,840000,104500,Yearly,480000,Married,Non Medical,14.68989564985843,10.080643081067246,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
1079.1608373970446,52.23018050046839,Wife,Profession,1179247.65,116528.1793,Yearly,3120273.957,Married,Non Medical,11.370504820704014,9.721581082642016,Kanpur,Uttar Pradesh,209121,ULIP,Bancassurance,1.0923206044016125,9/3/2020 0:00,-,-,Lapse,Surrendered Reinvested Auto,Misappropriating Funds
923.393719,60.2834397,Spouse,Retired,67068.6963,1051077.542,Yearly,1923848.69,Married,Non Medical,9.498093892,10.01063882,New Delhi,Delhi,110032,ULIP,Bancassurance,0.963664362,3/26/2021 0:00,-,-,Cancellation,Other Reason,Misselling 
1212.981298,37.95527453,Wife,Agriculturist,364721.1198,24288.08024,Yearly,512793.2847,Married,Non Medical,14.4743412,9.948864761,Kanpur,Uttar Pradesh,208001,Traditional,Bancassurance,0.963934354,9/25/2018 0:00,-,-,Inforce,-,Misappropriating Funds
1169.0,37.0,Wife,Business,840000,104500,Yearly,480000,Married,Non Medical,15.0,10.0,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
1092.4093856461757,32.59607919509367,Brother,Service,130728.1163,-14836.85799,Yearly,465243.5154,Married,Non Medical,15.099457548903478,10.105526537066316,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
967.4576691945673,51.397093194100165,Husband,Service,81954.81458,94143.42024,Yearly,3323731.007,Married,Non Medical,15.038085746135092,9.918994057052952,Thane,Maharashtra,401303,ULIP,Retail Agency,,4/15/2021 0:00,-,-,Lapse,Surrendered Reinvested Auto,Misappropriating Funds
1169.0,37.0,Wife,Business,840000,104500,Yearly,480000,Married,Non Medical,15.0,10.0,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
946.1519469,60.44357001,Spouse,Retired,133541.5818,1037288.416,Yearly,5310141.061,Married,Non Medical,9.219130673,9.976768144,New Delhi,Delhi,110032,ULIP,Bancassurance,0.98506288,3/26/2021 0:00,-,-,Cancellation,Other Reason,Misselling 
1049.1008075185591,40.51917845856906,Son,Housewife,1119079.006,85113.17177,Yearly,3306518.456,Married,Medical,13.0479011775433,9.991496740951291,GANJAM,Odisha,761001,ULIP,Bancassurance,0.7150378090035451,12/30/2021 0:00,-,-,Cancellation,Other Reason,Signature Forgery
1037.0,47.0,Wife,Self-Employed,125000,5000,Yearly,240000,Married,Non Medical,10.0,10.0,BULAND SHAHAR,Uttar Pradesh,202398,Traditional,Retail Agency,,3/30/2023 0:00,-,-,Cancellation,Other Reason,Impersonation
417.6460846897108,45.49432593290294,Wife,Service,528117.9811,15547.7323,Yearly,-764064.6818,Married,Non Medical,12.976864492719711,9.823673742827664,KURNOOL,Andhra Pradesh,518004,ULIP,Bancassurance,0.9712207623520186,7/4/2023 0:00,-,-,Cancellation,Other Reason,Misrepresentation
982.550181353948,62.4086603456828,Spouse,Retired,-84376.76295,237576.954,Yearly,-1074910.458,Married,Non Medical,14.31686052499053,9.960001916072228,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1190.843577404678,31.099682280986013,Father,Business,612542.1069,1732.425004,Monthly,2365076.115,Single,Non Medical,13.406115729648722,9.920542025976566,Rohtak,Haryana,124001,ULIP,Retail Agency,,4/5/2023 0:00,-,-,Inforce,-,Signature Forgery
924.462762259914,60.43409680575913,Spouse,Retired,14131.38358,146865.8339,Yearly,-115064.5561,Married,Non Medical,14.861384627745986,9.971861605479734,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1012.535558,60.44400616,Son,Retired,1060387.485,136092.4197,Yearly,73234.5572,Married,Medical,9.737393754,3.080011294,DAUSA,Rajasthan,303325,ULIP,Retail Agency,,10/5/2017 0:00,4/23/2019 0:00,5/15/2019 15:03,Claim,Death Claim Repudiated,Kickback
966.014758109701,49.6412902828253,Husband,Service,35239.83882,115099.4696,Yearly,1587790.266,Married,Non Medical,15.461086193181588,9.842592455620576,Thane,Maharashtra,401303,ULIP,Retail Agency,,4/15/2021 0:00,-,-,Lapse,Surrendered Reinvested Auto,Misappropriating Funds
1298.79129,48.77698378,Spouse,Service,200428.3643,-24102.43923,Yearly,1012087.081,Married,Non Medical,11.32844178,10.0118149,DARRONG,Assam,784147,Traditional,Bancassurance,1.122600727,3/12/2015 0:00,11/11/2015 0:00,4/20/2016 13:21,Claim,Death Claim Paid,Claims Fraud
1055.7251429781152,60.097140862841336,Son,Retired,924849.182,118598.9048,Yearly,3184557.323,Married,Medical,10.656388822318098,3.1750300387336465,DAUSA,Rajasthan,303325,ULIP,Retail Agency,,10/5/2017 0:00,4/23/2019 0:00,5/15/2019 15:03,Claim,Death Claim Repudiated,Kickback
806.4997252252585,70.0,Husband,Profession,1103927,84341,Quarterly,6516364,widowed,Medical,22.0,16.0,Sangrur,Telangana,127057,ULIP,Institutional Alliance,0.87648445438314,04/02/2023 0:00,-,-,Active,Surrendered,No Fraud
1161.49116522017,12.110063664116492,Spouse,Business,31669.91414,63840.22569,Yearly,-1461742.269,Married,Non Medical,12.191901787960012,10.15571112144181,Amritsar,Punjab,143003,Traditional,Institutional Alliance,,3/3/2022 0:00,-,-,Cancellation,Other Reason,Misselling 
1002.564915187816,49.02225392811919,Husband,Service,11762.16756,50445.67525,Yearly,-465394.2206,Married,Non Medical,9.31058272944067,10.082143613594193,Thane,Maharashtra,401303,ULIP,Retail Agency,,3/19/2021 0:00,-,-,Lapse,Surrendered Reinvested Auto,Misappropriating Funds
1163.350431,37.62859327,Wife,Business,865844.3344,115974.85,Yearly,144958.8484,Married,Non Medical,14.52124768,9.918688445,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
1082.465105,32.15185258,Brother,Service,128990.2608,23192.01617,Yearly,478896.5994,Married,Non Medical,14.76855801,10.00430339,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
1155.63012989673,46.43067821371452,Spouse,Agriculturist,226715.0037,29546.13216,Yearly,1406998.278,Married,Non Medical,14.064029194983153,10.150463148167324,Jyotiba Phule Nagar,Uttar Pradesh,244241,Traditional,Retail Agency,,12/28/2023 0:00,-,-,Cancellation,Other Reason,Claims Fraud
993.8808241999344,53.74983232030336,Wife,Profession,1016364.849,126876.5927,Yearly,-1242898.616,Married,Non Medical,11.341448352051415,10.003357136417,Kanpur,Uttar Pradesh,209121,ULIP,Bancassurance,0.8803850515445828,9/3/2020 0:00,-,-,Lapse,Surrendered Reinvested Auto,Misappropriating Funds
1082.0,33.0,Brother,Service,100000,9033.78,Yearly,350000,Married,Non Medical,15.0,10.0,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
1311.659745,20.17668755,Son,Business,183864.7858,-11788.6847,Yearly,-629470.651,Single,Non Medical,9.373075335,9.853592375,Guna,Madhya Pradesh,473001,Variable,Bancassurance,6.760540575,3/20/2013 0:00,-,-,Maturity,Disinvested Unpaid,Misselling 
1082.0,33.0,Brother,Service,100000,9033.78,Yearly,350000,Married,Non Medical,15.0,10.0,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
34.92876403634812,71.0,Niece,Self-Employed,66915,82919,Monthly,8019603,Single,Medical,9.0,36.0,VARANASI,Gujarat,300505,Traditional,Bancassurance,1.045128522,08/12/2018 0:00,-,-,Active,Regular Payment,No Fraud
979.0766614657524,61.13619265895513,Spouse,Retired,0,200000,Yearly,600000,Married,Non Medical,14.094614816503306,9.987996054018842,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1062.068607,70.33136724,Son,Profession,-132098.5475,3000884.265,Yearly,4195716.04,Married,Non Medical,10.55559844,9.927779074,Sirsa,Haryana,125055,ULIP,Bancassurance,1.176309783,11/17/2021 0:00,-,-,Cancellation,Other Reason,Misselling 
429.8090141,52.85099793,Wife,Service,191362.9387,20327.45924,Yearly,906197.6377,Married,Non Medical,11.9416699,10.02351803,WEST CHAMPARAN,Bihar,845107,ULIP,Bancassurance,1.120338802,7/31/2023 0:00,-,-,Cancellation,Other Reason,Misrepresentation
1169.0,37.0,Wife,Business,840000,104500,Yearly,480000,Married,Non Medical,15.0,10.0,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
1190.629045,54.86511837,Son,Service,2301006.455,200255.5614,Yearly,395303.7447,Married,Non Medical,26.12016624,9.983918012,Ghaziabad,Uttar Pradesh,201008,Traditional,Bancassurance,1.009895489,4/8/2022 0:00,-,-,Cancellation,Other Reason,Signature Forgery
974.856734268404,47.03967433489171,Husband,Service,61959.13308,140844.2592,Yearly,3378014.731,Married,Non Medical,10.072247602517187,10.161496630109598,Thane,Maharashtra,401304,ULIP,Retail Agency,,3/3/2021 0:00,-,-,Inforce,-,Misappropriating Funds
1057.1061860405125,46.92717477577517,Wife,Self-Employed,88101.61236,27641.89275,Yearly,385387.8662,Married,Non Medical,9.36295191118209,10.084450324539365,BULAND SHAHAR,Uttar Pradesh,202398,Traditional,Retail Agency,,3/30/2023 0:00,-,-,Cancellation,Other Reason,Impersonation
1233.743712,42.10035875,Wife,Business,1877364.405,176623.1168,Half yearly,498438.0559,Married,Medical,36.16914333,9.997344027,BHAVNAGAR,Gujarat,364002,Traditional,Retail Agency,,1/12/2023 0:00,-,-,Cancellation,Other Reason,Impersonation
1221.8350034190128,16.0,Daughter,Profession,609139,67516,Monthly,8753229,divorced,Medical,6.0,11.0,Thane,Uttar Pradesh,138503,ULIP,Mail and Others,0.991176254,06/05/2022 0:00,-,-,Inforce,Surrendered,No Fraud
960.810649,62.47184471,Spouse,Retired,-171682.7869,183939.453,Yearly,-2035962.213,Married,Non Medical,14.95713961,10.10043628,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
668.0,55.0,Son,Service,500000,26297.42,Yearly,600000,Married,Non Medical,10.0,10.0,MUKTSAR,Punjab,152026,Traditional,Bancassurance,1.0,5/22/2023 0:00,-,-,Cancellation,Other Reason,Misrepresentation
1305.5681640632165,48.51987527418648,Spouse,Service,200428.3643,-24102.43923,Yearly,1012087.081,Married,Non Medical,11.320121740772922,10.069078867031855,DARRONG,Assam,784147,Traditional,Bancassurance,1.061091553118472,3/12/2015 0:00,11/11/2015 0:00,4/20/2016 13:21,Claim,Death Claim Paid,Claims Fraud
1314.7117491423621,43.7114091096285,Wife,Agriculturist,401397.0596,50411.09747,Quarterly,-890760.5135,Married,Medical,14.599843116755203,10.310482596481272,RAMPUR,Uttar Pradesh,244921,Traditional,Retail Agency,,10/11/2022 0:00,-,-,Cancellation,Other Reason,Impersonation
966.735432727485,46.84685042308412,Husband,Service,61959.13308,140844.2592,Yearly,3378014.731,Married,Non Medical,10.231069681706101,10.103745881684539,Thane,Maharashtra,401304,ULIP,Retail Agency,,3/3/2021 0:00,-,-,Inforce,-,Misappropriating Funds
1325.458956,55.6902279,Son,Business,3253.81994,34330.39701,Yearly,1411213.252,Married,Non Medical,9.266530729,10.07781829,JALAUN,Uttar Pradesh,285001,Pension,Retail Agency,,9/28/2023 0:00,-,-,Inforce,-,Signature Forgery
1065.843025,40.32423137,Wife,Service,497792.7604,61719.15476,Yearly,-1105327.68,Married,Non Medical,7.149147685,10.00861594,Kanpur,Uttar Pradesh,209306,Variable,Bancassurance,1.057795577,6/25/2019 0:00,-,-,Terminated,Refunded,Misappropriating Funds
996.9070503336562,21.0,Son,Army,385475,148504,Single,853997,widowed,Medical,8.0,8.0,SINGRAULI,Bihar,788422,Traditional,Institutional Alliance,1.062017764,05/29/2016 0:00,-,-,Active,Reinstated,No Fraud
1025.3541364230568,60.50120395616816,Son,Retired,917276.5473,113677.0177,Yearly,-91279.01345,Married,Medical,8.777516003366802,2.944766686935673,DAUSA,Rajasthan,303325,ULIP,Retail Agency,,10/5/2017 0:00,4/23/2019 0:00,5/15/2019 15:03,Claim,Death Claim Repudiated,Kickback
823.1478673787682,43.48063467129983,Spouse,Service,385000,52250,Yearly,700000,Married,Non Medical,14.231046183882029,10.047833815601289,KANNAUJ,Uttar Pradesh,209728,Traditional,Bancassurance,1.0081924175680017,-,-,-,Cancellation,Other Reason,Misrepresentation
819.4771724,59.56970949,Spouse,Retired,875309.0935,175210.4168,Yearly,-244335.6533,Married,Medical,14.89450318,9.99251034,Nalbari,Assam,781341,Traditional,Bancassurance,1.021552285,12/12/2023 0:00,-,-,Cancellation,Other Reason,Misrepresentation
1162.0971762841084,37.49007549601747,Wife,Business,840000,104500,Yearly,480000,Married,Non Medical,15.109167234000903,10.010701345626089,NORTH TRIPURA,Tripura,799250,Traditional,Institutional Alliance,,1/28/2022 0:00,-,-,Cancellation,Other Reason,Unauthorized activity
246.018774365657,8.0,Brother,Service,1313165,78368,Yearly,7079772,widowed,Non Medical,35.0,20.0,THANE,Tripura,241353,Traditional,Bancassurance,1.0393738251487703,12/01/2013 0:00,-,-,Lapsed,Reinstated,No Fraud
1027.797392,53.84741963,Wife,Service,203616.7604,240237.7166,Yearly,3062341.076,Married,Non Medical,10.60273988,10.00125441,Madurai,Tamil Nadu,625706,ULIP,Bancassurance,0.922012807,3/31/2022 0:00,-,-,Cancellation,Other Reason,Misselling 
1102.288118552762,33.333828354343645,Brother,Service,100000,9033.78,Yearly,350000,Married,Non Medical,14.336232581473059,10.182807875008015,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
1164.927399,12.5831508,Spouse,Business,95340.67852,85391.12478,Yearly,-1531408.887,Married,Non Medical,11.68476381,10.00451364,Amritsar,Punjab,143003,Traditional,Institutional Alliance,,3/3/2022 0:00,-,-,Cancellation,Other Reason,Misselling 
1163.487892673131,45.41285180466759,Wife,Defense Retired,385000,51125,Yearly,420000,Married,Non Medical,14.487066335339376,9.340027602129666,Auraiya,Uttar Pradesh,206255,Traditional,Bancassurance,1.0238551387374915,6/16/2021 0:00,-,-,Inforce,-,Misappropriating Funds
1338.0357,45.2133225,Wife,Agriculturist,203998.1471,53950.32528,Quarterly,-535425.9484,Married,Medical,15.22080633,10.00425159,RAMPUR,Uttar Pradesh,244921,Traditional,Retail Agency,,10/11/2022 0:00,-,-,Cancellation,Other Reason,Impersonation
1043.973281,34.82516856,Mother,Service,389618.5003,68677.31288,Yearly,-480889.3413,Married,Non Medical,11.45635946,9.99379922,KANPUR DEHAT,Uttar Pradesh,209121,ULIP,Bancassurance,0.951168433,12/28/2022 0:00,-,-,Inforce,-,Misappropriating Funds
948.2595851,60.48586062,Spouse,Retired,14131.38358,146865.8339,Yearly,-115064.5561,Married,Non Medical,15.913721,9.975927441,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1078.018106,32.79317222,Brother,Service,109803.2527,25185.70377,Yearly,844327.3195,Married,Non Medical,14.40862344,10.03678055,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
126.0,11.0,Spouse,Service," 5,225,000 "," 485,688 ",Yearly," 1,500,000 ",Married,Non Medical,36.0,10.0,CHANDIGARH,Chandigarh,160023,Traditional,Bancassurance,1.0,06-05-2023,-,-,Inforce,-,Document Tampering
1090.0,43.0,Wife,Service,600000,19700.34,Yearly,840000,Married,Non Medical,10.0,10.0,Palghat,Kerala,679502,Traditional,Bancassurance,1.0,4/19/2022 0:00,-,-,Withdrawal,Free Look Cancellation,Misselling 
942.5012353765692,61.75762250599008,Spouse,Retired,-38846.83118,168405.1482,Yearly,1080769.537,Married,Non Medical,15.611561959227044,9.976103986240194,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
964.5502508360892,55.617755292435554,Son,Housewife,284550.1641,1023548.744,Yearly,4629960.751,Married,Non Medical,9.239934077591355,9.98152563752666,-,_Others,-,ULIP,Bancassurance,0.9252005516606332,7/31/2019 0:00,-,-,Cancellation,Other Reason,Signature Forgery
963.36341151864,62.02106611036546,Spouse,Retired,-26354.44507,196941.7884,Yearly,-4047687.015,Married,Non Medical,14.796312342133607,9.883868350786022,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
1070.3220790247583,32.04993891991442,Brother,Service,128990.2608,23192.01617,Yearly,478896.5994,Married,Non Medical,14.878238331534442,9.99555712375838,CALCUTTA,West Bengal,700034,Traditional,Retail Agency,,2/24/2015 0:00,-,-,Inforce,-,Agent Dual Pan Card
973.6900927,62.13296796,Spouse,Retired,24535.19655,180743.398,Yearly,-1175098.551,Married,Non Medical,14.96092153,9.854481038,BHIWANI,Haryana,127029,ULIP,Retail Agency,,8/25/2021 0:00,-,-,Inforce,-,Logging in business not sourced by oneself
